#user	A	B	C	D	E	F	G	Gu	H	I	L	M	N	J	O	P	Mu	Ou	Pu	Nu	ProbTl	PindK	PindU	ProbU	TauU	HcondO	Us	Total	timestamp
1577833711	103	10	9	2.00	0	1697	1.76	0.00	4	1	2	4	3,0,1,2	1301	1,5,2,2	0.10,0.50,0.20,0.20	1	10	1.00	1	0	0	0	0	0.00	0.00	0	0	1670342929.0
1577833711	104	11	10	3.00	0	0	1.79	0.00	4	1	2	4	3,0,1,2	0	1,5,2,3	0.09,0.45,0.18,0.27	1	11	1.00	1	0	0	0	0	0.00	0.00	0	0	1670342929.0
231934592	120	10	9	9.00	0	0	0.47	0.00	2	1	2	2	2,0	0	9,1	0.90,0.10	1	10	1.00	1	0	0	0	0	0.00	0.00	0	0	1670509860.0
231934592	121	11	10	10.00	0	0	0.44	0.00	2	1	2	2	2,0	0	10,1	0.91,0.09	1	11	1.00	1	0	0	0	0	0.00	0.00	0	0	1670509860.0
231934592	122	12	11	11.00	0	0	0.41	0.00	2	1	2	2	2,0	0	11,1	0.92,0.08	1	12	1.00	1	0	0	0	0	0.00	0.00	0	0	1670509860.0
231934592	123	13	12	12.00	0	0	0.39	0.00	2	1	2	2	2,0	0	12,1	0.92,0.08	1	13	1.00	1	0	0	0	0	0.00	0.00	0	0	1670509860.0
231934592	124	14	13	2.00	0	1796	0.59	0.00	2	1	0	2	2,0	1579	12,2	0.86,0.14	1	14	1.00	1	0	0	0	0	0.00	0.00	0	0	1670509864.0
231934592	125	15	14	3.00	0	1755	0.72	0.00	2	1	0	2	2,0	1755	12,3	0.80,0.20	1	15	1.00	1	0	0	0	0	0.00	0.00	0	0	1670509909.0
231934592	126	16	15	13.00	0	1736	0.70	0.00	2	1	2	2	2,0	1687	13,3	0.81,0.19	1	16	1.00	1	0	0	0	0	0.00	0.00	0	0	1670509973.0
231934592	127	17	16	14.00	0	1767	0.67	0.00	2	1	2	2	2,0	1767	14,3	0.82,0.18	1	17	1.00	1	0	0	0	0	0.00	0.00	0	0	1670510006.0
231934592	128	18	17	15.00	0	1729	0.65	0.00	2	1	2	2	2,0	1729	15,3	0.83,0.17	1	18	1.00	1	0	0	0	0	0.00	0.00	0	0	1670510077.0
231934592	129	19	18	16.00	0	0	0.63	0.00	2	1	2	2	2,0	0	16,3	0.84,0.16	1	19	1.00	1	0	0	0	0	0.00	0.00	0	0	1670510077.0
231934592	130	20	19	4.00	0	1756	0.72	0.00	2	1	0	2	2,0	1588	16,4	0.80,0.20	1	20	1.00	1	0	0	0	0	0.00	0.00	0	0	1670510121.0
231934592	131	21	20	1.00	0	1756	0.96	0.00	3	1	3	3	2,0,3	0	16,4,1	0.76,0.19,0.05	1	21	1.00	1	0	0	0	0	0.00	0.00	0	0	1670510165.0
231934592	132	22	21	5.00	0	1775	1.02	0.00	3	1	0	3	2,0,3	1731	16,5,1	0.73,0.23,0.05	1	22	1.00	1	0	0	0	0	0.00	0.00	0	0	1670510190.0
231934592	133	23	22	6.00	0	1769	1.07	0.00	3	1	0	3	2,0,3	1769	16,6,1	0.70,0.26,0.04	1	23	1.00	1	0	0	0	0	0.00	0.00	0	0	1670510221.0
231934592	134	24	23	17.00	0	1757	1.04	0.00	3	1	2	3	2,0,3	1613	17,6,1	0.71,0.25,0.04	1	24	1.00	1	0	0	0	0	0.00	0.00	0	0	1670510264.0
231934592	135	25	24	18.00	0	0	1.02	0.00	3	1	2	3	2,0,3	0	18,6,1	0.72,0.24,0.04	1	25	1.00	1	0	0	0	0	0.00	0.00	0	0	1670510264.0
231934592	136	26	25	19.00	0	1767	1.00	0.00	3	1	2	3	2,0,3	1767	19,6,1	0.73,0.23,0.04	1	26	1.00	1	0	0	0	0	0.00	0.00	0	0	1670510297.0
231934592	137	27	26	7.00	0	1744	1.04	0.00	3	1	0	3	2,0,3	1668	19,7,1	0.70,0.26,0.04	1	27	1.00	1	0	0	0	0	0.00	0.00	0	0	1670510353.0
231934592	138	28	27	8.00	0	1695	1.07	0.00	3	1	0	3	2,0,3	1695	19,8,1	0.68,0.29,0.04	1	28	1.00	1	0	0	0	0	0.00	0.00	0	0	1670510458.0
231934592	139	29	28	1.00	0	1738	1.25	0.00	4	1	1	4	2,0,3,1	0	19,8,1,1	0.66,0.28,0.03,0.03	1	29	1.00	1	0	0	0	0	0.00	0.00	0	0	1670510520.0
